"INTPTLAT","INTPTLON","Children","Elderly","Poverty","Elevation","SeaLevelRise","Precipitation","Diabetes","MentalHealth","Asthma","Disability","HousingQuality","Homeless","LivAlone","FloodHealthIndex_Quintiles"
0.740187704084974,0.6695399410382379,0.14766790911395397,0,0.3823887919346279,0.05997211296747012,0.3620197196974512,0.2305738724627592,0.2265450807086877,0.3700874658645665,0.9390838690461416,0.29559362361041375,0.08253948753948753,0.9071027614543274,0.6243530232747049,1
0.69686042572215,0.6297930553968172,0.16325369608761053,0.22382671933415804,0.577894976576503,0.08301626410385837,0,0.13224527681627446,0.16444196132843514,0.6292021720841922,0.6561406339199285,0.5265486824415103,0.05990756990756991,0.822380984948522,0.6862248644043101,1
0.7290499823396885,0.5260859806701319,0.04473133763663721,0.18592057806255446,0.41038919916403294,0.06663724701347207,0.21175435390580308,0.03429911240887205,0.014448174824147801,1,0.04969098265035121,0.4137168156305632,0.2314391014391014,0.24606352028871908,0.8550657666445731,1
0.790451167383992,0.5166213873508241,0.1729657666765253,0.1588447641225488,0.3449345578921152,0.06002827018769605,0.1282721826733617,0.15577256524793895,0.15390572124306887,0.5481843653371734,0.5944674725111072,0.5066371669947841,0.0412054522054522,1,0.5442789217578304,1
0.5819979960931505,0.5685379210253814,0.19794595313974525,0.4007203379265487,0.9420639713890839,0.08184990646016269,0,0.026460206653388253,0.15918873313498075,0.6464172889945637,0.8046365012782646,0.940260998456271,0.0802942552942553,0.7553727095290955,0.9999953534185788,1
0.7439405243316628,0.6921580264184968,0.23053486074442153,0.254512634297452,0.6304753528463087,0.08778734555098545,0,0.05559279098099124,0.16442039382265553,0.6292620454570825,0.6566990990096552,0.5022123882234368,0.9999999999999999,1,0.8162174012334857,1
0.7072683072753989,0.5759177839619269,0.16325369264703754,0.2238267136753133,0.5778949637763544,0.07965769250631789,0,0.1834999581020891,0.1643084481974187,0.6274780219055361,0.6542604681178484,0.5265486714658466,0.056671229671229666,0.15568626006807626,0.686224831374244,1
0.5940385571871047,0.4653024580264855,0.1129712557551093,0.35652828426495864,0.3451828430999903,0.05743034488962632,0.45327297718171994,0.020282778669451267,0.05255590348849271,0.22613969980099718,0.2509183648142173,0.2869744231213521,0.02659090909090909,0.24140234952467632,0.6785812981498699,1
0.640697871389591,0.724033471351504,0.5570278710161577,0.18229345437498148,0.47300354933676814,0.05997211296747012,0.20341201614440985,0.09735527494698304,0.23816996632388027,0.3908280081549564,0.999578048598873,0.23891549477512708,0.03637650637650638,0.9129160726216718,0.30368042029385195,1
0.6182719546742987,0.49849221943918565,0.16325388355355996,0.2238269319821728,0.577895397268164,0.09315318376954715,0,0.08868885322194935,0.16445223156928251,0.6291666539816301,0.6558427858720742,0.5265490785388564,0.06773019773019773,0.15568626006807626,0.6862256252508213,1
0.6454310201904718,0.7499955248521246,0.2467725856257447,0.17328519735649647,0.8914047031741149,0.14683988611962104,0,0.04100542094508795,0.13342994206557138,0.5349645275635698,0.6174265928665393,0.49336283068074244,0.07626067626067626,1,0.7295556879939913,1
0.457383640046487,0.4541999606186664,0.026233001758086336,1,0.6650583675157273,0.06287293075386612,0.13727495550753194,0.0585523949490457,0.10167538438943932,0.14713526206778277,0.2905073345081784,1,0.0027045805545805545,1,0.9193149566390915,1
0.48616637473065794,0.41283513693258556,0.44947451120288806,0.1895306847446876,0.5703189245547402,0.07138639699206535,0.0003647210481154262,0.04521506519959521,0.2382695876601002,0.39099240622967224,1,0.19911507764411648,0.04947420147420147,0.9129160726216718,0.30072970985711384,1
