"Column0","INTPTLAT","INTPTLON","Children","Elderly","Poverty","Elevation","SeaLevelRise","Precipitation","Diabetes","MentalHealth","Asthma","Disability","HousingQuality","Homeless","LivAlone","prediction","FloodHealthIndex","Cluster"
196,37.77705139999999,-122.444169,0.09530480938999997,0.10199979599999998,0.23774052451799998,226.414,0,0.014952199999999987,6.399999999999998,14.389999999999993,3.6513,0.097999804,8.041479999999993,3.798799999999999,0.359999858534,48.04375887949593,49.199600000000004,"cluster_0"
197,37.779114099999994,-122.4857354,0.21164481490399997,0.20099984852100003,0.0662979639083,451.84099999999995,0,0.0012310099999999862,4.883099999999992,8.642599999999995,2.6580999999999992,0.06899996892119997,2.6177999999999977,0.2605999999999985,0.22199983930299996,43.89023306158495,22.619799999999998,"cluster_2"
198,37.757211899999994,-122.4372448,0.17438098556699996,0.12399996185099998,0.22273501139099997,16.450199999999988,0,0.0034908999999999977,23.2,38.57999999999999,16.1156,0.07099999087769998,7.074829999999984,17.613,0.16099995840899994,54.11190561793217,61.212799999999994,"cluster_3"
199,37.7119426,-122.42894360000001,0.06213599999999996,0.08599999999999994,0.08803399999999995,165.136,0,0.003128929999999989,5.899999999999994,5.439999999999993,3.0755999999999997,0.07999999999999999,9.920659999999994,2.1589,0.45,42.85872678292048,38.526300000000006,"cluster_4"
200,37.725497999999995,-122.4161018,0.056163667280199975,0.12399930017299997,0.46154071618700004,70.6417,0,0,7.899999999999991,30.470000000000002,3.8246999999999987,0.21899947902600003,12.684999999999999,19.2683,0.593997866617,55.18083671568934,63.79970000000001,"cluster_3"
201,37.76831279999999,-122.445746,0.04230102963929999,0.05000019586129997,0.299615246008,-5.363100000000053,0.3482080000000001,0.03472389999999999,9.899999999999999,14.550099999999999,4.6817,0.13400015916499997,3.0330599999999923,19.2683,0.5710003169810001,54.28897642617532,80.179,"cluster_1"
202,37.776933699999994,-122.3925662,0.15466199999999997,0.152,0.258678,181.73199999999997,0,0.0010821799999999983,3.2092999999999954,6.703399999999993,1.931099999999999,0.10699999999999998,9.485099999999985,4.6154,0.291,49.62191900188942,43.526399999999995,"cluster_4"
203,37.74146009999999,-122.4166502,0.17523504786,0.172000049231,0.12078202817599995,354.045,0,0.001072769999999993,4.6266999999999925,8.4166,2.650199999999999,0.1080000219,4.0778599999999905,0.2605999999999985,0.19400007525199997,44.33915801233977,27.27979999999999,"cluster_2"
204,37.73827699999999,-122.4969167,0.13591799999999998,0.28800000000000003,0.8003570000000002,14.066599999999973,0,0,6.390699999999997,9.99259999999999,3.7972999999999986,0.16100000000000003,12.009199999999991,4.937399999999999,0.443,49.484097718346305,63.82630000000001,"cluster_3"
205,37.7562337,-122.3889842,0.13305899999999998,0.139,0.24651699999999996,21.445699999999974,0,0.0014331499999999983,6.399999999999998,10.72,2.497999999999999,0.11799999999999998,3.2233599999999902,1.876099999999999,0.261,47.2628635087204,50.2662,"cluster_0"
206,37.7567689,-122.4099757,0.158293031444,0.07400001466889995,0.06580702508059998,49.752399999999994,0,0.0005514209999999866,9.899999999999999,14.549999999999995,4.6817,0.04500000838219997,4.316989999999991,17.613,0.276000110366,49.80437192399081,40.2063,"cluster_4"
